Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Age,Years_customer,Total_Expenses,Total_Acc_Cmp,Cluster
2,4,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,66,11,1617,1,3
2,4,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,69,9,27,0,1
2,5,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,58,10,776,0,0
2,5,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,39,9,53,0,2
4,3,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,42,9,422,0,3
3,5,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,56,10,716,0,3
2,2,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,52,11,590,0,3
4,3,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,38,10,169,0,1
4,5,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,49,10,46,1,2
4,5,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,73,9,49,1,2
2,3,52247.25135379061,1,0,11,5,5,6,0,2,1,1,1,0,2,7,40,10,19,0,3
1,3,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,47,11,61,0,2
2,2,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,64,10,1102,0,3
3,2,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,71,10,310,0,3
2,3,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,36,11,46,0,2
4,4,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,77,11,1315,3,0
2,3,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,43,11,96,0,1
2,5,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,77,11,317,0,1
3,3,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,74,10,1782,1,0
0,4,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,38,11,133,0,1
2,3,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,41,11,316,0,1
2,3,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,44,10,1730,0,2
4,3,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,74,11,972,1,3
4,3,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,69,9,544,0,0
2,5,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,72,10,444,0,1
2,4,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,54,10,75,0,2
2,3,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,47,10,257,0,3
2,4,52247.25135379061,1,0,19,5,1,3,3,263,362,0,27,0,0,1,37,10,637,0,3
2,3,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,34,10,131,0,1
4,3,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,58,10,1672,1,0
3,2,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,34,9,30,0,2
3,5,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,60,10,318,0,1
2,5,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,53,11,120,1,1
4,2,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,71,11,302,1,1
3,3,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,77,10,1196,0,0
3,4,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,72,10,65,0,1
4,3,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,53,10,913,0,0
0,3,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,47,10,81,0,2
2,6,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,50,9,67,0,1
4,2,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,80,10,902,2,1
2,3,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,43,10,1395,0,0
3,3,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,38,10,53,0,2
2,5,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,66,11,22,0,2
4,4,52247.25135379061,0,0,80,81,11,50,3,2,39,1,1,3,4,2,64,10,186,0,3
3,3,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,48,10,31,0,2
2,4,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,47,9,984,0,0
0,3,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,27,11,122,1,2
2,5,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,55,10,55,0,1
2,4,52247.25135379061,2,1,96,48,5,48,6,10,7,3,2,1,4,6,72,9,124,0,3
4,3,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,69,11,1319,0,0
2,6,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,66,9,507,0,0
3,3,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,59,11,1693,0,0
2,4,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,46,10,72,0,1
2,2,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,46,9,1617,3,0
2,3,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,45,10,606,0,0
3,5,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,68,11,1957,2,0
2,2,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,57,10,1093,1,0
2,4,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,35,9,29,0,2
2,4,52247.25135379061,1,0,57,11,3,22,2,2,6,2,2,0,3,6,41,10,46,0,3
4,3,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,55,9,518,0,3
3,4,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,41,10,1438,3,0
2,5,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,48,11,612,0,0
2,4,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,71,10,884,0,3
4,6,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,72,10,606,0,0
2,5,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,75,10,1076,0,0
2,3,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,52,10,34,1,2
2,5,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,56,9,11,0,2
0,4,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,44,9,1274,3,0
2,5,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,65,10,653,0,0
2,5,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,53,10,1562,0,0
3,3,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,69,11,1253,0,0
0,3,52247.25135379061,1,0,25,25,3,43,17,4,17,3,3,0,3,8,50,11,109,0,3
2,3,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,64,10,863,0,0
